"County";"0-59 m";"60-159 m";"160-299 m";"300-599 m";"600-899 m";"900-1199 m";"1200-1499 m";"1500-1799 m";"1800-2099 m";"2100-2700 m"
" ";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area";"Area"
"Saltdal";41.82;45.04;90.90;495.79;844.71;544.78;146.09;4.01;0.00;0.00
"Fauske";114.29;68.59;120.99;256.21;303.68;244.18;90.21;9.89;0.06;0.00
"Sørfold";112.66;146.35;300.28;489.80;383.48;199.61;21.31;0.06;0.00;0.00
"Steigen";275.83;163.65;181.00;279.72;85.83;25.57;1.19;0.00;0.00;0.00
"Hamarøy - Hábmer";219.18;122.00;166.99;183.41;266.53;73.56;5.99;0.00;0.00;0.00
"Divtasvuodna - Tysfjord";117.00;126.91;172.64;315.97;529.44;171.92;28.93;0.03;0.00;0.00
"Lødingen";126.13;71.28;115.15;171.65;45.12;1.99;0.03;0.00;0.00;0.00
"Tjeldsund";63.07;45.27;73.07;105.41;29.76;0.74;0.00;0.00;0.00;0.00
"Evenes";44.10;48.90;73.70;58.64;24.25;2.71;0.00;0.00;0.00;0.00
"Ballangen";115.19;130.11;129.75;227.28;221.34;73.72;31.04;1.21;0.00;0.00
"Røst";9.87;0.74;0.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Værøy";9.05;3.12;3.51;2.05;0.00;0.00;0.00;0.00;0.00;0.00
"Flakstad";40.87;43.24;47.36;41.15;7.08;0.03;0.00;0.00;0.00;0.00
"Vestvågøy";184.33;75.65;91.36;65.37;4.94;0.03;0.00;0.00;0.00;0.00
"Vågan";182.97;73.78;92.37;115.60;12.22;0.14;0.00;0.00;0.00;0.00
"Hadsel";161.78;92.89;126.97;150.83;32.20;1.38;0.01;0.00;0.00;0.00
"Bø (Nordl.)";135.44;43.87;41.61;26.95;0.20;0.00;0.00;0.00;0.00;0.00
"Øksnes";135.97;57.88;65.15;57.09;1.17;0.00;0.00;0.00;0.00;0.00
"Sortland";221.00;132.30;153.90;178.80;26.50;0.50;0.00;0.00;0.00;0.00
"Andøy";353.46;80.23;120.77;98.86;5.96;0.00;0.00;0.00;0.00;0.00
"Moskenes";20.17;17.21;27.74;45.21;9.44;0.00;0.00;0.00;0.00;0.00
"Tromsø";327.93;340.77;533.86;815.98;374.94;124.70;30.87;8.77;0.10;0.00
"Harstad";0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
"Kvæfjord";36.50;61.00;141.80;217.00;64.90;0.80;0.00;0.00;0.00;0.00
"Skånland";54.85;99.96;106.92;133.38;73.49;24.45;0.98;0.00;0.00;0.00
"Ibestad";38.17;34.50;67.95;65.97;29.08;6.11;0.10;0.00;0.00;0.00
"Gratangen";18.83;25.69;52.22;123.14;74.52;17.57;0.79;0.00;0.00;0.00
"Loabák - Lavangen";13.11;16.24;40.68;124.73;78.04;28.72;2.42;0.00;0.00;0.00
"Bardu";11.87;120.11;152.18;763.09;895.69;610.70;140.41;3.61;0.00;0.00
"Salangen";43.75;50.93;102.08;159.68;87.48;13.14;0.32;0.00;0.00;0.00
"Målselv";161.81;234.18;336.45;715.37;1138.34;588.52;137.37;9.94;0.00;0.00
"Sørreisa";28.04;32.83;111.54;128.49;49.84;9.53;0.36;0.00;0.00;0.00
"Dyrøy";32.52;41.90;80.75;98.78;30.12;6.12;0.03;0.00;0.00;0.00
"Tranøy";111.02;103.76;139.03;147.69;21.75;0.00;0.00;0.00;0.00;0.00
"Torsken";36.50;32.31;65.57;95.63;16.10;0.00;0.00;0.00;0.00;0.00
"Berg";37.29;36.15;69.82;118.26;26.02;0.23;0.00;0.00;0.00;0.00
"Lenvik";204.03;176.02;259.62;210.97;41.29;3.38;0.04;0.00;0.00;0.00
"Balsfjord";110.26;200.59;380.38;422.60;240.15;109.76;29.71;0.17;0.00;0.00
"Karlsøy";184.24;213.88;321.05;278.96;40.12;1.31;0.00;0.00;0.00;0.00
"Lyngen";104.50;99.40;106.70;206.20;175.70;93.30;22.70;1.50;0.00;0.00
"Storfjord - Omasvuotna - Omasvuono";45.90;61.30;75.30;331.50;565.30;389.20;68.80;0.70;0.00;0.00
"Gáivuotna - Kåfjord";31.10;36.30;50.70;126.90;274.00;451.00;27.00;0.00;0.00;0.00
"Skjervøy";51.60;57.00;82.30;150.30;105.00;25.70;1.00;0.00;0.00;0.00
"Nordreisa";113.50;138.00;158.40;1004.50;1615.10;391.30;13.90;0.20;0.00;0.00
"Kvænangen";90.30;125.50;217.20;658.30;851.30;166.10;1.50;0.00;0.00;0.00
"Vardø";98.10;254.20;236.40;11.90;0.00;0.00;0.00;0.00;0.00;0.00
"Vadsø";134.00;275.70;405.70;443.00;0.60;0.00;0.00;0.00;0.00;0.00
"Hammerfest";117.40;194.30;272.00;208.40;53.50;2.30;0.00;0.00;0.00;0.00
"Guovdageaidnu - Kautokeino";0.00;0.00;81.90;8979.20;642.40;0.60;0.00;0.00;0.00;0.00
"Alta";188.70;270.80;471.40;2254.20;622.60;37.50;0.00;0.00;0.00;0.00
"Loppa";70.00;90.70;114.00;240.80;133.90;41.30;0.10;0.00;0.00;0.00
"Hasvik";82.00;130.40;182.30;146.80;17.30;0.20;0.00;0.00;0.00;0.00
