lat,lng,dates
69.81,28.98,2011-01-01
62.41,7.67,2011-08-01
61.67,9.93,2011-10-01
67.97,15.74,2011-10-01
69.63,24.69,2011-12-01
70.11,23.94,2011-07-01
62.82,9.52,2011-03-01
63.16,11.11,2011-04-01
61.7,9.72,2011-05-01
63.44,10.34,2011-12-01
62.65,10.02,2011-01-01
62.58,7.26,2011-02-01
61.32,8.83,2011-05-01
63.85,12.12,2011-09-01
64.29,12.88,2011-02-01
69.71,24.98,2011-03-01
69.69,25.04,2011-03-01
61.97,11.84,2011-03-01
69.03,19.18,2011-04-01
70.0,28.15,2011-03-01
70.04,25.28,2011-04-01
62.21,9.82,2011-07-01
62.51,10.59,2011-07-01
61.55,10.53,2011-07-01
62.03,9.29,2011-09-01
61.28,10.78,2011-08-01
61.68,9.88,2011-08-01
62.57,10.86,2011-08-01
62.58,10.8,2011-08-01
61.71,9.89,2011-08-01
62.18,9.37,2011-08-01
69.25,20.09,2011-08-01
65.63,13.7,2011-09-01
61.7,9.8,2011-09-01
64.07,12.01,2011-01-01
69.68,25.41,2011-01-01
67.15,14.83,2011-10-01
62.74,11.0,2011-09-01
63.02,9.0,2011-11-01
64.48,12.91,2011-10-01
65.3,13.56,2011-12-01
69.18,24.56,2011-03-01
69.12,25.3,2011-03-01
68.47,19.81,2011-03-01
66.16,14.95,2011-06-01
62.09,9.85,2011-06-01
62.25,9.64,2011-06-01
61.53,7.64,2011-09-01
62.07,8.35,2011-08-01
61.68,8.3,2011-09-01
61.66,9.94,2011-09-01
62.05,7.83,2011-09-01
62.09,9.98,2011-07-01
62.05,11.49,2011-07-01
67.15,14.81,2011-10-01
63.67,11.79,2011-08-01
62.49,10.71,2011-08-01
61.71,9.93,2011-08-01
61.7,9.94,2011-08-01
62.35,9.74,2011-09-01
62.6,9.23,2011-09-01
62.34,10.25,2011-09-01
61.91,8.67,2011-09-01
70.35,24.87,2011-05-01
61.77,9.9,2011-09-01
61.69,9.88,2011-09-01
70.15,30.17,2011-01-01
69.7,25.39,2011-01-01
69.2,24.24,2011-01-01
69.41,25.26,2011-01-01
69.22,24.33,2011-02-01
70.58,24.32,2011-07-01
62.43,7.39,2011-01-01
63.37,11.35,2011-02-01
69.15,19.17,2011-03-01
63.44,9.88,2011-03-01
64.36,12.79,2011-02-01
69.85,25.9,2011-03-01
61.79,8.45,2011-06-01
62.16,9.86,2011-08-01
62.42,9.36,2011-08-01
61.68,9.92,2011-08-01
61.7,9.85,2011-08-01
62.03,8.43,2011-08-01
62.57,10.85,2011-08-01
62.57,10.87,2011-08-01
62.11,9.41,2011-08-01
61.65,9.81,2011-08-01
61.7,9.92,2011-08-01
62.48,9.4,2011-08-01
66.91,14.65,2011-09-01
66.91,14.65,2011-10-01
62.44,11.48,2011-09-01
61.7,9.83,2011-08-01
63.74,12.13,2011-09-01
61.74,9.8,2011-09-01
62.77,9.68,2011-09-01
61.76,9.95,2011-09-01
61.58,7.6,2011-09-01
61.73,9.88,2011-09-01
64.32,12.25,2011-02-01
64.41,13.14,2011-01-01
69.7,25.36,2011-01-01
69.05,24.84,2011-02-01
69.95,29.04,2011-02-01
69.03,24.96,2011-01-01
66.32,13.8,2011-10-01
69.75,22.96,2011-12-01
66.53,13.74,2011-12-01
69.06,24.93,2011-02-01
69.73,22.15,2011-03-01
69.02,22.25,2011-03-01
70.25,25.85,2011-03-01
69.85,25.9,2011-04-01
61.27,10.7,2011-06-01
62.05,8.46,2011-08-01
61.67,9.93,2011-08-01
62.09,8.78,2011-10-01
62.06,8.54,2011-07-01
60.88,7.91,2011-10-01
61.7,9.87,2011-08-01
62.23,8.76,2011-08-01
61.84,8.32,2011-08-01
61.7,9.85,2011-09-01
62.5,10.02,2011-09-01
70.41,30.67,2011-09-01
64.06,12.02,2011-01-01
66.18,14.66,2011-02-01
61.55,7.7,2011-09-01
69.96,25.26,2011-10-01
62.43,11.18,2011-10-01
66.31,13.81,2011-10-01
63.57,11.94,2011-09-01
70.12,23.78,2011-07-01
70.13,23.99,2011-06-01
62.58,7.22,2011-04-01
61.7,9.72,2011-05-01
61.65,10.56,2011-07-01
63.91,12.38,2011-09-01
62.7,10.1,2011-10-01
69.06,24.93,2011-02-01
69.73,22.15,2011-03-01
69.02,22.25,2011-03-01
70.25,25.85,2011-03-01
69.85,25.9,2011-04-01
61.27,10.7,2011-06-01
62.05,8.46,2011-08-01
61.67,9.93,2011-08-01
62.09,8.78,2011-10-01
62.59,10.85,2011-08-01
62.73,10.72,2011-09-01
61.7,9.94,2011-09-01
62.61,10.79,2011-09-01
62.59,9.2,2011-09-01
61.16,8.93,2011-09-01
62.27,9.7,2011-09-01
64.32,12.26,2011-02-01
69.04,25.36,2011-01-01
62.58,7.22,2011-04-01
61.7,9.72,2011-05-01
61.65,10.56,2011-07-01
63.91,12.38,2011-09-01
62.7,10.1,2011-10-01
69.06,24.95,2011-02-01
70.66,24.29,2011-02-01
69.71,24.94,2011-03-01
68.59,18.38,2011-03-01
64.09,13.84,2011-04-01
62.52,10.6,2011-07-01
62.44,9.34,2011-07-01
61.8,8.41,2011-08-01
62.58,10.81,2011-07-01
61.7,9.85,2011-08-01
61.68,9.89,2011-08-01
62.59,10.85,2011-08-01
62.5,10.64,2011-08-01
61.7,9.94,2011-08-01
61.7,9.93,2011-08-01
62.28,7.8,2011-08-01
62.44,11.2,2011-09-01
66.84,14.59,2011-09-01
62.09,8.8,2011-10-01
62.15,11.31,2011-08-01
62.46,9.43,2011-09-01
62.67,10.74,2011-09-01
62.66,10.97,2011-09-01
63.63,11.98,2011-09-01
61.94,8.09,2011-09-01
62.36,10.08,2011-09-01
66.88,14.76,2011-09-01
64.06,12.03,2011-01-01
64.39,13.22,2011-01-01
69.72,25.34,2011-01-01
64.77,12.94,2011-02-01
68.65,25.03,2011-02-01
61.49,10.77,2011-09-01
62.22,10.83,2011-09-01
68.35,17.15,2011-04-01
63.72,11.44,2011-03-01
61.95,7.33,2011-06-01
69.66,25.08,2011-03-01
64.2,13.49,2011-03-01
69.72,25.19,2011-03-01
70.81,27.38,2011-04-01
66.16,14.95,2011-06-01
62.22,9.82,2011-07-01
61.68,8.27,2011-09-01
61.9,9.58,2011-08-01
